
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
161      2.47142532615559  4.40e-01      3.68582131324897  6.56e-01     -0.54235416247043 -9.66e-02      5.61489247693414  1.00e+00
162     -3.75753695034273 -6.69e-01      1.26555235985076  2.25e-01      8.10724770240099  1.44e+00      5.61526311190903  1.00e+00
163     -4.44318849714401 -7.91e-01      1.24978597641662  2.23e-01      8.80833758337058  1.57e+00      5.61493506264319  1.00e+00
164      3.04741655612100  5.43e-01      7.07869948614004  1.26e+00     -4.51308534315321 -8.04e-01      5.61303069910783  1.00e+00
165      9.62695751307128  1.71e+00     13.08652978437883  2.33e+00    -17.09428083221660 -3.04e+00      5.61920646523350  1.00e+00
166     16.16898397991734  2.85e+00     18.83238312416743  3.32e+00    -29.33650007862343 -5.18e+00      5.66486702546133  1.00e+00
167     20.91648237402665  3.66e+00     23.41436715565613  4.09e+00    -38.60931070096917 -6.75e+00      5.72153882871360  1.00e+00
168     12.37353484509259  2.15e+00     17.47307787935835  3.04e+00    -24.09397760024680 -4.19e+00      5.75263512420415  1.00e+00
169      4.21869620313758  7.27e-01      9.57379423388144  1.65e+00     -7.99022106018509 -1.38e+00      5.80226937683394  1.00e+00
170      2.06412785835593  3.56e-01      7.74338894607107  1.33e+00     -4.00137286124857 -6.89e-01      5.80614394317843  1.00e+00
171      0.15791959019983  2.72e-02      5.95691603729412  1.03e+00     -0.30343426032436 -5.22e-02      5.81140136716960  1.00e+00
172      0.07265948770010  1.25e-02      5.87989465377980  1.01e+00     -0.14103954547752 -2.43e-02      5.81151459600237  1.00e+00
